Element indices,outer diameter (cm),wall thickness (cm),length (m),node 1 id,node 2 id,optimal sequence
0,0.8,0.16,0.344,0,1,3
1,0.6,0.16,0.355,1,2,20
2,1,0.16,0.388,1,3,9
3,0.8,0.16,0.41,1,4,13
4,1,0.16,0.415,1,5,22
5,0.6,0.16,0.419,1,6,7
6,0.8,0.16,0.339,7,8,4
7,0.6,0.16,0.355,8,9,37
8,1.6,0.16,0.36,8,10,8
9,0.8,0.16,0.363,6,8,6
10,1.6,0.16,0.422,4,8,16
11,1,0.16,0.442,8,11,41
12,0.6,0.16,0.351,12,13,46
13,0.6,0.16,0.361,13,14,32
14,1.6,0.16,0.375,13,15,34
15,0.6,0.16,0.408,13,16,63
16,1.6,0.16,0.409,13,17,35
17,0.6,0.16,0.431,7,13,5
18,0.6,0.16,0.239,0,18,69
19,1,0.16,0.367,5,18,70
20,0.6,0.16,0.276,2,19,72
21,0.6,0.16,0.317,0,19,71
22,0.6,0.16,0.245,2,20,73
23,0.8,0.16,0.348,3,20,74
24,0.6,0.16,0.24,3,21,75
25,0.6,0.16,0.262,22,23,155
26,0.6,0.16,0.316,3,23,158
27,0.8,0.16,0.266,22,24,152
28,0.6,0.16,0.293,24,25,151
29,0.6,0.16,0.252,25,26,140
30,0.6,0.16,0.314,11,26,139
31,0.6,0.16,0.239,11,27,76
32,0.6,0.16,0.254,9,28,77
33,0.6,0.16,0.323,11,28,78
34,0.6,0.16,0.281,9,29,79
35,0.8,0.16,0.284,10,29,80
36,0.6,0.16,0.255,10,30,81
37,0.6,0.16,0.298,30,31,120
38,0.6,0.16,0.259,31,32,123
39,0.6,0.16,0.28,17,32,109
40,0.8,0.16,0.272,17,33,110
41,0.6,0.16,0.292,33,34,111
42,0.6,0.16,0.24,34,35,147
43,0.8,0.16,0.422,17,35,166
44,0.6,0.16,0.285,34,36,153
45,0.8,0.16,0.297,16,36,148
46,0.6,0.16,0.243,16,37,112
47,0.8,0.16,0.357,12,37,113
48,0.6,0.16,0.244,12,38,82
49,0.8,0.16,0.264,15,39,84
50,0.6,0.16,0.293,12,39,83
51,0.6,0.16,0.239,5,40,85
52,0.8,0.16,0.306,15,40,86
53,0.6,0.16,0.173,4,41,87
54,0.6,0.16,0.262,22,41,114
55,0.6,0.16,0.191,42,43,89
56,0.8,0.16,0.252,7,43,88
57,0.6,0.16,0.182,9,44,90
58,0.6,0.16,0.207,10,44,91
59,0.6,0.16,0.167,5,45,92
60,0.6,0.16,0.188,45,46,93
61,0.6,0.16,0.139,15,47,95
62,0.6,0.16,0.223,14,47,94
63,0.6,0.16,0.144,48,49,97
64,0.6,0.16,0.225,11,49,96
65,0.6,0.16,0.149,34,50,116
66,0.6,0.16,0.229,17,50,115
67,0.6,0.16,0.191,7,51,99
68,0.6,0.16,0.201,6,51,98
69,0.6,0.16,0.158,0,52,100
70,0.6,0.16,0.208,2,52,101
71,0.6,0.16,0.175,3,53,102
72,0.6,0.16,0.203,22,53,117
73,0.6,0.16,0.185,42,54,103
74,0.6,0.16,0.232,16,54,118
75,0.6,0.16,0.167,31,55,121
76,0.6,0.16,0.211,10,55,104
77,0.6,0.16,0.175,17,56,119
78,0.6,0.16,0.214,31,56,126
79,0.6,0.16,0.143,14,57,105
80,0.6,0.16,0.257,15,57,106
81,0.6,0.16,0.167,46,58,108
82,0.6,0.16,0.293,4,58,107
83,0.6,0.16,0.267,18,19,127
84,0.6,0.16,0.269,18,40,122
85,0.6,0.16,0.265,19,20,129
86,0.6,0.16,0.268,20,21,131
87,0.6,0.16,0.268,21,23,159
88,0.6,0.16,0.268,23,24,157
89,0.6,0.16,0.269,24,26,150
90,0.6,0.16,0.268,26,27,138
91,0.6,0.16,0.268,27,28,137
92,0.6,0.16,0.268,28,29,143
93,0.6,0.16,0.269,29,30,125
94,0.6,0.16,0.27,30,32,133
95,0.6,0.16,0.27,32,33,146
96,0.6,0.16,0.263,33,35,165
97,0.6,0.16,0.264,35,36,169
98,0.6,0.16,0.267,36,37,171
99,0.6,0.16,0.268,37,38,174
100,0.6,0.16,0.268,38,39,176
101,0.6,0.16,0.267,39,40,179
102,0.6,0.16,0.379,18,45,124
103,0.6,0.16,0.254,18,52,128
104,0.6,0.16,0.251,19,52,130
105,0.6,0.16,0.351,20,52,132
106,0.6,0.16,0.423,20,53,154
107,0.6,0.16,0.233,21,53,134
108,0.6,0.16,0.194,23,53,160
109,0.6,0.16,0.425,24,41,156
110,0.6,0.16,0.349,24,53,161
111,0.6,0.16,0.5,26,41,141
112,0.6,0.16,0.397,26,49,142
113,0.6,0.16,0.381,27,49,135
114,0.6,0.16,0.27,28,44,144
115,0.6,0.16,0.413,28,49,149
116,0.6,0.16,0.154,29,44,136
117,0.6,0.16,0.302,30,44,145
118,0.6,0.16,0.19,30,55,162
119,0.6,0.16,0.258,32,55,163
120,0.6,0.16,0.148,32,56,164
121,0.6,0.16,0.243,33,50,168
122,0.6,0.16,0.265,33,56,167
123,0.6,0.16,0.255,35,50,170
124,0.6,0.16,0.315,36,50,172
125,0.6,0.16,0.432,36,54,173
126,0.6,0.16,0.38,37,54,175
